iter	Passed	Remaining
0	99	29894
1	184	27473
2	268	26581
3	346	25612
4	427	25213
5	499	24477
6	576	24117
7	654	23883
8	741	23962
9	812	23569
10	896	23540
11	990	23776
12	1113	24582
13	1224	25023
14	1303	24767
15	1398	24815
16	1507	25095
17	1576	24691
18	1643	24313
19	1708	23915
20	1779	23646
21	1868	23615
22	1949	23477
23	2031	23357
24	2113	23249
25	2195	23133
26	2261	22868
27	2324	22580
28	2387	22308
29	2459	22135
30	2559	22206
31	2644	22144
32	2728	22077
33	2796	21878
34	2864	21690
35	2976	21824
36	3048	21668
37	3114	21473
38	3183	21302
39	3251	21132
40	3326	21012
41	3388	20813
42	3458	20667
43	3516	20457
44	3581	20295
45	3639	20094
46	3696	19899
47	3757	19728
48	3826	19603
49	3887	19438
50	3954	19305
51	4011	19133
52	4070	18971
53	4130	18818
54	4193	18682
55	4259	18559
56	4322	18427
57	4394	18337
58	4446	18164
59	4505	18020
60	4565	17887
61	4632	17781
62	4695	17665
63	4755	17534
64	4814	17406
65	4872	17274
66	4932	17153
67	4987	17017
68	5043	16885
69	5102	16763
70	5160	16643
71	5218	16526
72	5280	16419
73	5341	16311
74	5404	16212
75	5463	16102
76	5535	16030
77	5606	15956
78	5677	15882
79	5744	15796
80	5815	15724
81	5882	15638
82	5947	15549
83	6010	15456
84	6085	15392
85	6145	15291
86	6207	15197
87	6267	15099
88	6327	15000
89	6384	14896
90	6443	14799
91	6505	14708
92	6659	14822
93	6746	14785
94	6826	14730
95	6918	14701
96	7770	16261
97	9087	18730
98	9433	19152
99	9703	19406
100	10650	20983
101	10877	21114
102	11849	22662
103	12074	22755
104	13804	25636
105	14386	26329
106	15705	28328
107	16655	29609
108	17700	31016
109	17989	31072
110	18107	30831
111	18183	30521
112	18263	30223
113	18350	29940
114	18464	29703
115	18532	29397
116	18613	29113
117	18685	28819
118	18754	28526
119	18811	28217
120	18871	27916
121	18923	27609
122	18998	27339
123	19051	27040
124	19111	26756
125	19169	26472
126	19235	26202
127	19304	25940
128	19381	25691
129	19441	25422
130	19509	25168
131	19569	24906
132	19638	24658
133	19704	24409
134	19770	24164
135	19833	23917
136	19892	23668
137	19951	23420
138	20008	23175
139	20063	22929
140	20124	22693
141	20181	22455
142	20244	22226
143	20306	21998
144	20368	21772
145	20431	21551
146	20495	21332
147	20562	21118
148	20629	20906
149	20696	20696
150	20762	20487
151	20825	20276
152	20887	20067
153	20944	19856
154	21015	19659
155	21075	19454
156	21136	19251
157	21219	19070
158	21314	18901
159	21394	18720
160	21466	18533
161	21536	18345
162	21618	18170
163	21699	17994
164	21798	17835
165	21870	17654
166	22341	17793
167	22489	17670
168	22626	17539
169	22703	17361
170	22774	17180
171	22860	17012
172	22932	16834
173	23002	16657
174	23073	16481
175	23133	16298
176	23190	16115
177	23241	15929
178	23297	15748
179	23355	15570
180	23413	15393
181	23471	15217
182	23526	15041
183	23585	14868
184	23643	14697
185	23698	14524
186	23756	14355
187	23815	14188
188	23873	14021
189	23931	13855
190	23989	13690
191	24042	13524
192	24106	13364
193	24167	13205
194	24228	13046
195	24288	12887
196	24348	12730
197	24407	12573
198	24466	12417
199	24523	12261
200	24578	12105
201	24637	11952
202	24712	11808
203	24769	11656
204	24826	11505
205	24881	11353
206	24939	11204
207	24996	11056
208	25057	10910
209	25110	10761
210	25168	10615
211	25225	10470
212	25290	10329
213	25351	10188
214	25410	10045
215	25467	9904
216	25525	9763
217	25578	9621
218	25634	9481
219	25691	9342
220	25753	9206
221	25809	9068
222	25869	8932
223	25927	8796
224	25982	8660
225	26036	8525
226	26093	8391
227	26149	8257
228	26209	8126
229	26265	7993
230	26324	7863
231	26378	7731
232	26443	7603
233	26521	7480
234	26578	7351
235	26632	7222
236	26693	7095
237	26751	6968
238	26811	6843
239	26870	6717
240	26929	6592
241	26984	6467
242	27039	6342
243	27096	6218
244	27157	6096
245	27212	5973
246	27270	5851
247	27331	5730
248	27391	5610
249	27445	5489
250	27500	5368
251	27568	5251
252	27628	5132
253	27685	5013
254	27741	4895
255	27798	4777
256	27853	4660
257	27906	4542
258	27965	4426
259	28018	4310
260	28076	4195
261	28135	4080
262	28194	3966
263	28250	3852
264	28307	3738
265	28366	3625
266	28422	3512
267	28480	3400
268	28540	3289
269	28597	3177
270	28662	3067
271	28719	2956
272	28773	2845
273	28830	2735
274	28886	2626
275	28942	2516
276	28999	2407
277	29054	2299
278	29107	2190
279	29167	2083
280	29225	1976
281	29284	1869
282	29342	1762
283	29400	1656
284	29456	1550
285	29512	1444
286	29571	1339
287	29629	1234
288	29686	1129
289	29746	1025
290	29803	921
291	29861	818
292	29918	714
293	29973	611
294	30034	509
295	30090	406
296	30148	304
297	30213	202
298	30272	101
299	30328	0
